slug,path,target_price,max_time,max_trades_per_window,trade_index,side,entry_elapsed,entry_price,tp_price,exit_elapsed,exit_price,exit_reason,winner,pnl,volume_ratio,btc_return
btc-updown-15m-1775439900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_044457_btc-updown-15m-1775439900_prices.csv,0.12,600,2,1,UP,82,0.62,0.74,831,0.74,tp,UP,0.72,3.7509,0.000936
btc-updown-15m-1775439900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_044457_btc-updown-15m-1775439900_prices.csv,0.12,600,2,2,UP,88,0.59,0.71,414,0.71,tp,UP,0.72,6.468,0.000835
btc-updown-15m-1775440800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_050000_btc-updown-15m-1775440800_prices.csv,0.12,600,2,1,UP,77,0.64,0.76,282,0.76,tp,UP,0.72,7.4486,0.000904
btc-updown-15m-1775440800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_050000_btc-updown-15m-1775440800_prices.csv,0.12,600,2,2,UP,87,0.64,0.76,282,0.76,tp,UP,0.72,2.6304,0.000659
btc-updown-15m-1775441700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_051501_btc-updown-15m-1775441700_prices.csv,0.12,600,2,1,UP,61,0.47,0.59,83,0.59,tp,UP,0.72,3.2051,2.3e-05
btc-updown-15m-1775441700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_051501_btc-updown-15m-1775441700_prices.csv,0.12,600,2,2,UP,76,0.48,0.6,87,0.6,tp,UP,0.72,19.1469,0.000116
btc-updown-15m-1775442600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_053000_btc-updown-15m-1775442600_prices.csv,0.12,600,2,1,UP,63,0.57,0.69,159,0.69,tp,DOWN,0.72,45.1474,0.000561
btc-updown-15m-1775442600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_053000_btc-updown-15m-1775442600_prices.csv,0.12,600,2,2,UP,74,0.6,0.72,162,0.72,tp,DOWN,0.72,10.768,0.000459
btc-updown-15m-1775443500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_054510_btc-updown-15m-1775443500_prices.csv,0.12,600,2,1,UP,63,0.47,0.59,75,0.59,tp,DOWN,0.72,20.987,0.000187
btc-updown-15m-1775443500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_054510_btc-updown-15m-1775443500_prices.csv,0.12,600,2,2,UP,73,0.5,0.62,75,0.62,tp,DOWN,0.72,106.8848,0.000838
btc-updown-15m-1775444400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_060001_btc-updown-15m-1775444400_prices.csv,0.12,600,2,1,UP,75,0.66,0.78,899,0.0,settle,DOWN,-3.96,2.5578,0.000188
btc-updown-15m-1775444400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_060001_btc-updown-15m-1775444400_prices.csv,0.12,600,2,2,UP,92,0.59,0.71,899,0.0,settle,DOWN,-3.54,5.2938,0.000255
btc-updown-15m-1775445300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_061501_btc-updown-15m-1775445300_prices.csv,0.12,600,2,1,UP,69,0.55,0.67,579,0.67,tp,UP,0.72,7.1756,0.000325
btc-updown-15m-1775445300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_061501_btc-updown-15m-1775445300_prices.csv,0.12,600,2,2,UP,71,0.54,0.66,579,0.66,tp,UP,0.72,31.0451,0.000325
